order_id,order_date,region,channel,units,unit_price,discount,revenue
10141,2025-03-12,East,Online,24.0,22.69,0.078,502.08
10142,2025-03-12,South,Partner,24.0,21.76,0.152,442.86
10143,2025-03-13,South,Retail,17.0,18.01,0.008,303.72
10144,2025-03-13,West,Online,39.0,17.24,0.036,648.16
10145,2025-03-14,South,Retail,20.0,19.57,0.063,366.74
10146,2025-03-14,West,Online,27.0,20.7,0.024,545.49
10147,2025-03-15,North,Retail,26.0,16.34,0.049,404.02
10148,2025-03-15,South,Online,16.0,16.87,0.004,268.84
10149,2025-03-16,South,Partner,25.0,16.41,0.066,383.17
10150,2025-03-16,West,Online,28.0,15.21,0.032,412.25
10151,2025-03-17,North,Online,19.0,19.81,0.006,374.13
10152,2025-03-17,East,Retail,19.0,21.85,0.034,401.03
10153,2025-03-18,East,Retail,24.0,24.77,0.018,583.78
10154,2025-03-18,East,Online,17.0,21.72,0.069,343.76
10155,2025-03-19,South,Online,30.0,19.31,0.026,564.24
10156,2025-03-19,West,Online,15.0,19.03,0.03,276.89
10157,2025-03-20,North,Online,4.0,20.13,0.064,75.37
10158,2025-03-20,South,Online,20.0,19.33,0.045,369.2
10159,2025-03-21,North,Online,36.0,26.19,0.004,939.07
10160,2025-03-21,North,Online,11.0,22.83,0.017,246.86
10161,2025-03-22,North,Online,13.0,20.37,0.049,251.83
10162,2025-03-22,West,Retail,10.0,17.83,0.016,175.45
10163,2025-03-23,East,Online,37.0,21.66,0.02,785.39
10164,2025-03-23,North,Online,6.0,22.69,0.05,129.33
10165,2025-03-24,South,Online,18.0,21.21,0.04,366.51
10166,2025-03-24,South,Retail,18.0,16.91,0.022,297.68
10167,2025-03-25,South,Online,22.0,18.47,0.045,388.05
10168,2025-03-25,north,Online,12.0,26.84,0.051,305.65
10169,2025-03-26,North,Retail,30.0,20.73,0.003,620.03
10170,2025-03-26,West,Online,33.0,18.48,0.022,596.42
10171,2025-03-27,South,Partner,17.0,16.38,0.166,232.24
10172,2025-03-27,South,Partner,34.0,16.91,0.142,493.3
10173,2025-03-28,South,Online,5.0,17.69,0.004,88.1
10174,2025-03-28,North,Retail,14.0,27.44,0.028,373.4
10175,2025-03-29,North,Online,35.0,20.98,0.016,722.55
10176,2025-03-29,South,Online,25.0,17.68,0.056,417.25
10177,2025-03-30,East,Online,7.0,22.59,0.065,147.85
10178,2025-03-30,East,Retail,36.0,23.59,0.005,844.99
10179,2025-03-31,East,Partner,,25.64,0.171,743.94
10180,2025-03-31,North,Online,15.0,22.47,0.056,318.18
10181,2025-04-01,West,Retail,8.0,23.14,0.017,181.97
10182,2025-04-01,East,Online,22.0,24.53,0.073,500.26
10183,2025-04-02,north,Online,23.0,21.62,0.023,485.82
10184,2025-04-02,South,Partner,18.0,19.69,0.134,306.93
10185,2025-04-03,West,Retail,28.0,19.51,0.006,543.0
10186,2025-04-03,North,Online,26.0,18.39,0.036,460.93
10187,2025-04-04,North,Partner,31.0,21.68,0.152,569.92
10188,2025-04-04,North,Online,38.0,21.83,0.072,769.81
10189,2025-04-05,North,Online,30.0,21.39,0.067,598.71
10190,2025-04-05,North,Online,6.0,16.62,0.044,95.33
10191,2025-04-06,North,Partner,1.0,24.2,0.191,19.58
10192,2025-04-06,South,Online,38.0,18.03,0.034,661.85
10193,2025-04-07,North,Partner,32.0,20.9,0.198,536.38
10194,2025-04-07,South,Retail,26.0,18.36,0.08,439.17
10195,2025-04-08,North,Online,10.0,21.43,0.054,202.73
10196,2025-04-08,East,Retail,32.0,25.02,0.032,775.02
10197,2025-04-09,North,Online,5.0,18.82,0.029,91.37
10198,2025-04-09,North,Retail,25.0,19.67,0.061,461.75
10199,2025-04-10,West,Retail,15.0,18.73,0.008,278.7
10200,2025-04-10,South,Retail,34.0,19.36,0.065,615.45
10201,2025-04-11,East,Partner,27.0,23.06,0.066,581.53
10202,2025-04-11,East,Online,13.0,22.57,0.035,283.14
10203,2025-04-12,South,Retail,31.0,16.91,0.057,494.33
10204,2025-04-12,North,Online,28.0,21.85,0.032,592.22
10205,2025-04-13,South,Retail,10.0,21.95,0.011,217.09
10206,2025-04-13,North,Partner,11.0,19.35,0.085,194.76
10207,2025-04-14,East,Partner,16.0,27.81,0.19,360.42
10208,2025-04-14,West,Online,20.0,20.11,0.007,399.38
10209,2025-04-15,West,Online,11.0,16.87,0.035,179.08
10210,2025-04-15,North,Partner,27.0,23.96,0.156,546.0
10211,2025-04-16,North,Partner,21.0,18.34,0.173,318.51
10212,2025-04-16,North,Online,8.0,17.67,0.04,135.71
10213,2025-04-17,North,Partner,28.0,18.78,0.062,493.24
10214,2025-04-17,South,Online,3.0,17.98,0.066,50.38
10215,2025-04-18,East,Online,37.0,23.19,0.072,796.25
10216,2025-04-18,North,Retail,,20.71,0.054,607.34
10217,2025-04-19,West,Online,4.0,18.25,0.047,69.57
10218,2025-04-19,East,Online,32.0,18.66,0.047,569.06
10219,2025-04-20,North,Online,13.0,23.24,0.048,287.62
10220,2025-04-20,East,Online,26.0,20.45,0.037,512.03
10221,2025-04-21,West,Online,10.0,16.35,0.029,158.76
10222,2025-04-21,North,Online,,20.97,0.019,267.43
10223,2025-04-22,South,Retail,1.0,16.11,0.005,16.03
10224,2025-04-22,South,Retail,26.0,15.57,0.03,392.68
10225,2025-04-23,South,Retail,23.0,16.48,0.062,355.54
10226,2025-04-23,North,Retail,4.0,21.97,0.044,84.01
10227,2025-04-24,East,Online,11.0,25.47,0.013,276.53
10228,2025-04-24,South,Online,26.0,20.41,0.065,496.17
10229,2025-04-25,East,Online,32.0,21.51,0.003,686.26
10230,2025-04-25,East,Online,23.0,22.02,0.074,468.98
10231,2025-04-26,North,Retail,,19.7,0.052,130.73
10232,2025-04-26,East,Online,25.0,25.12,0.044,600.37
10233,2025-04-27,West,Online,9.0,12.91,0.033,112.36
10234,2025-04-27,West,Retail,,21.1,0.066,354.73
10235,2025-04-28,North,Online,19.0,20.79,0.001,394.61
10236,2025-04-28,North,Online,9.0,20.04,0.001,180.18
10237,2025-04-29,East,Retail,32.0,24.85,0.042,761.8
10238,2025-04-29,North,Retail,29.0,24.58,0.024,695.71
10239,2025-04-30,South,Online,5.0,19.86,0.032,96.12
10240,2025-04-30,West,Retail,,20.63,0.043,375.12
10241,2025-05-01,South,Online,5.0,19.34,0.004,96.31
10242,2025-05-01,North,Online,30.0,25.07,0.079,692.68
10243,2025-05-02,South,Retail,16.0,22.11,0.054,334.66
10244,2025-05-02,East,Online,15.0,23.75,0.008,353.4
10245,2025-05-03,North,Online,10.0,25.6,0.059,240.9
10246,2025-05-03,South,Retail,4.0,19.41,0.043,74.3
10247,2025-05-04,North,Retail,,22.22,0.055,125.99
10248,2025-05-04,East,Online,22.0,21.7,0.059,449.23
10249,2025-05-05,East,Retail,29.0,23.28,0.079,621.79
10250,2025-05-05,South,Online,25.0,20.94,0.009,518.79
10251,2025-05-06,South,Partner,9.0,15.72,0.054,133.84
10252,2025-05-06,South,Online,,20.62,0.038,714.11
10253,2025-05-07,North,Online,26.0,22.87,0.016,585.11
10254,2025-05-07,North,Online,35.0,22.69,0.03,770.33
10255,2025-05-08,North,Partner,1.0,16.48,0.089,15.01
10256,2025-05-08,South,Online,3.0,18.74,0.072,52.17
10257,2025-05-09,North,Retail,3.0,23.62,0.042,67.88
10258,2025-05-09,East,Partner,31.0,22.09,0.117,604.67
10259,2025-05-10,South,Partner,15.0,19.23,0.07,268.26
10260,2025-05-10,North,Online,11.0,16.05,0.04,169.49
10261,2025-05-11,North,Retail,24.0,23.68,0.065,531.38
10262,2025-05-11,East,Retail,28.0,22.34,0.004,623.02
10263,2025-05-12,North,Retail,18.0,24.18,0.069,405.21
10264,2025-05-12,North,Online,15.0,17.39,0.071,242.33
10265,2025-05-13,North,Online,16.0,23.73,0.001,379.3
10266,2025-05-13,North,Online,13.0,21.41,0.038,267.75
10267,2025-05-14,West,Online,15.0,20.02,0.01,297.3
10268,2025-05-14,North,Retail,20.0,19.69,0.042,377.26
10269,2025-05-15,North,Online,13.0,20.45,0.007,263.99
10270,2025-05-15,East,Online,21.0,29.61,0.071,577.66
10271,2025-05-16,South,Online,26.0,16.93,0.015,433.58
10272,2025-05-16,North,Online,28.0,20.23,0.053,536.42
10273,2025-05-17,South,Online,1.0,18.31,0.052,17.36
10274,2025-05-17,West,Partner,25.0,15.44,0.162,323.47
10275,2025-05-18,South,Online,13.0,21.98,0.017,280.88
10276,2025-05-18,East,Online,27.0,28.31,0.073,708.57
10277,2025-05-19,North,Retail,38.0,20.24,0.003,766.81
10278,2025-05-19,East,Online,15.0,19.68,0.02,289.3
10279,2025-05-20,north,Online,5.0,26.93,0.026,131.15
10280,2025-05-20,East,Partner,27.0,26.77,0.166,602.81
10281,2025-05-21,East,Partner,13.0,26.05,0.19,274.31
10282,2025-05-21,South,Retail,14.0,21.89,0.009,303.7
10283,2025-05-22,North,Online,25.0,19.83,0.046,472.95
10284,2025-05-22,South,Online,24.0,18.58,0.058,420.06
10285,2025-05-23,East,Online,2.0,20.54,0.056,38.78
10286,2025-05-23,North,Online,18.0,18.45,0.039,319.15
10287,2025-05-24,North,Online,15.0,24.45,0.025,357.58
10288,2025-05-24,South,Online,,17.32,0.001,380.66
10289,2025-05-25,East,Retail,25.0,29.7,0.043,710.57
10290,2025-05-25,West,Online,1.0,18.19,0.05,17.28
10291,2025-05-26,North,Online,3.0,20.4,0.035,59.06
10292,2025-05-26,North,Partner,20.0,23.99,0.176,395.36
10293,2025-05-27,East,Online,33.0,28.5,0.016,925.45
10294,2025-05-27,South,Online,9.0,20.22,0.065,170.15
10295,2025-05-28,East,Online,5.0,20.96,0.058,98.72
10296,2025-05-28,West,Retail,16.0,18.93,0.072,281.07
10297,2025-05-29,West,Retail,11.0,21.44,0.074,218.39
10298,2025-05-29,East,Retail,3.0,22.77,0.019,67.01
10299,2025-05-30,East,Retail,37.0,22.07,0.074,756.16
10300,2025-05-30,South,Online,26.0,21.54,0.032,542.12
10301,2025-05-31,South,Online,31.0,19.35,0.054,567.46
10302,2025-05-31,North,Retail,35.0,19.24,0.076,622.22
10303,2025-06-01,East,Partner,25.0,23.05,0.112,511.71
10304,2025-06-01,East,Retail,14.0,22.11,0.047,294.99
10305,2025-06-02,East,Retail,1.0,24.74,0.006,24.59
10306,2025-06-02,South,Retail,5.0,19.27,0.048,91.73
10307,2025-06-03,South,Online,13.0,21.88,0.019,279.04
10308,2025-06-03,South,Partner,25.0,20.77,0.109,462.65
10309,2025-06-04,North,Online,26.0,18.09,0.03,456.23
10310,2025-06-04,East,Online,5.0,25.02,0.078,115.34
10311,2025-06-05,South,Retail,11.0,21.24,0.051,221.72
10312,2025-06-05,South,Retail,35.0,20.14,0.058,664.02
10313,2025-06-06,South,Retail,12.0,21.58,0.014,255.33
10314,2025-06-06,East,Online,5.0,22.63,0.024,110.43
10315,2025-06-07,South,Online,10.0,16.62,0.07,154.57
10316,2025-06-07,East,Online,15.0,26.33,0.01,391.0
10317,2025-06-08,West,Partner,20.0,15.34,0.135,265.38
10318,2025-06-08,South,Partner,20.0,13.6,0.083,249.42
10319,2025-06-09,North,Online,5.0,24.56,0.031,118.99
10320,2025-06-09,East,Partner,5.0,22.19,0.09,100.96
10321,2025-06-10,West,Online,9.0,17.23,0.035,149.64
10322,2025-06-10,North,Online,13.0,18.51,0.038,231.49
10323,2025-06-11,East,Retail,38.0,20.69,0.034,759.49
10324,2025-06-11,East,Online,11.0,21.11,0.056,219.21
10325,2025-06-12,West,Online,14.0,17.1,0.022,234.13
10326,2025-06-12,North,Online,28.0,22.92,0.013,633.42
10327,2025-06-13,North,Retail,,16.26,0.035,219.67
10328,2025-06-13,West,Retail,39.0,19.88,0.007,769.89
10329,2025-06-14,North,Partner,20.0,19.05,0.111,338.71
10330,2025-06-14,North,Partner,15.0,19.33,0.134,251.1
10331,2025-06-15,South,Online,31.0,20.69,0.063,600.98
10332,2025-06-15,South,Online,31.0,18.81,0.009,577.86
10333,2025-06-16,East,Partner,26.0,20.16,0.168,436.1
10334,2025-06-16,North,Retail,6.0,26.61,0.062,149.76
10335,2025-06-17,West,Online,12.0,15.85,0.027,185.06
10336,2025-06-17,North,Online,23.0,22.62,0.067,485.4
10337,2025-06-18,East,Partner,15.0,24.5,0.152,311.64
10338,2025-06-18,North,Retail,17.0,25.53,0.003,432.71
10339,2025-06-19,South,Online,12.0,17.86,0.031,207.68
10340,2025-06-19,north,Retail,,24.52,0.061,276.29
10341,2025-06-20,North,Retail,19.0,20.15,0.042,366.77
10342,2025-06-20,North,Online,33.0,24.81,0.054,774.52
10343,2025-06-21,East,Partner,15.0,22.09,0.083,303.85
10344,2025-06-21,South,Partner,30.0,18.09,0.175,447.73
10345,2025-06-22,North,Online,39.0,26.74,0.044,996.97
10346,2025-06-22,West,Online,6.0,18.79,0.068,105.07
10347,2025-06-23,West,Online,37.0,18.27,0.034,653.01
10348,2025-06-23,West,Retail,12.0,23.61,0.001,283.04
10349,2025-06-24,North,Retail,4.0,22.9,0.022,89.58
10350,2025-06-24,South,Retail,32.0,16.96,0.048,516.67
10351,2025-06-25,North,Retail,1.0,23.84,0.076,22.03
10352,2025-06-25,North,Online,39.0,19.05,0.049,706.55
10353,2025-06-26,North,Retail,9.0,24.82,0.023,218.24
10354,2025-06-26,South,Online,24.0,22.01,0.079,486.51
10355,2025-06-27,North,Retail,10.0,20.57,0.032,199.12
10356,2025-06-27,North,Online,34.0,20.43,0.018,682.12
10357,2025-06-28,West,Online,28.0,18.44,0.044,493.6
10358,2025-06-28,South,Partner,39.0,19.04,0.162,622.27
10359,2025-06-29,North,Retail,31.0,19.56,0.009,600.9
10360,2025-06-29,East,Online,29.0,25.42,0.057,695.16
10361,2025-06-30,North,Online,37.0,16.9,0.055,590.91
10362,2025-06-30,South,Retail,26.0,17.92,0.078,429.58
10363,2025-07-01,North,Online,9.0,20.99,0.011,186.83
10364,2025-07-01,South,Online,9.0,18.32,0.073,152.84
10365,2025-07-02,South,Online,26.0,19.77,0.064,481.12
10366,2025-07-02,South,Retail,15.0,15.93,0.02,234.17
10367,2025-07-03,South,Online,30.0,20.47,0.038,590.76
10368,2025-07-03,East,Retail,25.0,23.55,0.05,559.31
10369,2025-07-04,West,Online,2.0,16.37,0.025,31.92
10370,2025-07-04,North,Retail,37.0,18.58,0.009,681.27
10371,2025-07-05,North,Online,38.0,19.04,0.067,675.04
10372,2025-07-05,North,Partner,12.0,22.9,0.15,233.58
10373,2025-07-06,West,Partner,12.0,15.59,0.158,157.52
10374,2025-07-06,West,Online,16.0,18.16,0.035,280.39
10375,2025-07-07,North,Online,32.0,24.65,0.072,732.01
10376,2025-07-07,West,Partner,1.0,20.58,0.182,16.83
10377,2025-07-08,North,Online,7.0,25.9,0.034,175.14
10378,2025-07-08,South,Retail,28.0,18.26,0.078,471.4
10379,2025-07-09,South,Online,17.0,16.29,0.028,269.18
10380,2025-07-09,West,Retail,18.0,20.55,0.058,348.45
10381,2025-07-10,North,Online,37.0,22.77,0.019,826.48
10382,2025-07-10,North,Retail,32.0,24.81,0.061,745.49
10383,2025-07-11,South,Partner,5.0,19.03,0.103,85.35
10384,2025-07-11,North,Online,10.0,24.99,0.066,233.41
10385,2025-07-12,North,Retail,11.0,24.12,0.039,254.97
10386,2025-07-12,South,Retail,26.0,20.79,0.018,530.81
10387,2025-07-13,West,Online,17.0,19.26,0.051,310.72
10388,2025-07-13,East,Online,27.0,24.99,0.073,625.47
10389,2025-07-14,East,Online,9.0,24.58,0.025,215.69
10390,2025-07-14,East,Online,19.0,24.56,0.002,465.71
10391,2025-07-15,East,Retail,15.0,26.48,0.015,391.24
10392,2025-07-15,East,Online,8.0,22.72,0.075,168.13
10393,2025-07-16,East,Retail,8.0,28.34,0.0,226.72
10394,2025-07-16,East,Partner,16.0,23.73,0.15,322.73
10395,2025-07-17,North,Partner,27.0,24.46,0.142,566.64
10396,2025-07-17,North,Partner,30.0,21.77,0.088,595.63
10397,2025-07-18,East,Retail,31.0,23.38,0.031,702.31
10398,2025-07-18,North,Online,8.0,27.08,0.055,204.72
10399,2025-07-19,West,Partner,23.0,17.23,0.192,320.2
10400,2025-07-19,South,Online,4.0,15.81,0.035,61.03
10401,2025-07-20,North,Partner,6.0,20.21,0.052,114.95
10402,2025-07-20,West,Partner,19.0,17.21,0.194,263.55
10403,2025-07-21,North,Retail,28.0,27.39,0.043,733.94
10404,2025-07-21,South,Retail,10.0,19.52,0.025,190.32
10405,2025-07-22,North,Online,7.0,24.34,0.0,170.38
10406,2025-07-22,West,Retail,32.0,15.5,0.047,472.69
10407,2025-07-23,South,Online,24.0,19.88,0.021,467.1
10408,2025-07-23,East,Online,32.0,25.68,0.022,803.68
10409,2025-07-24,North,Online,4.0,26.5,0.07,98.58
10410,2025-07-24,East,Retail,37.0,22.26,0.029,799.74
10411,2025-07-25,East,Partner,32.0,25.51,0.082,749.38
10412,2025-07-25,South,Online,33.0,19.76,0.05,619.48
10413,2025-07-26,West,Online,4.0,15.45,0.043,59.14
10414,2025-07-26,South,Online,26.0,18.95,0.005,490.24
10415,2025-07-27,South,Online,22.0,18.34,0.028,392.18
10416,2025-07-27,East,Online,8.0,18.19,0.049,138.39
10417,2025-07-28,East,Retail,36.0,25.5,0.022,897.8
10418,2025-07-28,North,Online,33.0,23.35,0.079,709.68
10419,2025-07-29,East,Online,33.0,22.9,0.064,707.34
10420,2025-07-29,North,Online,29.0,18.65,0.04,519.22
10421,2025-07-30,South,Retail,7.0,22.7,0.073,147.3
10422,2025-07-30,East,Online,30.0,24.66,0.003,737.58
10423,2025-07-31,North,Online,18.0,24.54,0.018,433.77
10424,2025-07-31,East,Online,28.0,27.53,0.073,714.57
10425,2025-08-01,North,Partner,24.0,20.7,0.187,403.9
10426,2025-08-01,West,Online,33.0,20.03,0.014,651.74
10427,2025-08-02,South,Retail,21.0,18.4,0.046,368.63
10428,2025-08-02,South,Online,12.0,18.84,0.058,212.97
10429,2025-08-03,East,Partner,26.0,23.79,0.144,529.47
10430,2025-08-03,South,Online,27.0,19.0,0.004,510.95
10431,2025-08-04,East,Retail,12.0,26.78,0.003,320.4
10432,2025-08-04,North,Partner,21.0,22.31,0.087,427.75
10433,2025-08-05,South,Retail,26.0,18.62,0.001,483.64
10434,2025-08-05,South,Online,14.0,18.31,0.007,254.55
10435,2025-08-06,West,Online,7.0,18.85,0.051,125.22
10436,2025-08-06,North,Partner,13.0,19.76,0.089,234.02
10437,2025-08-07,South,Online,33.0,17.74,0.007,581.32
10438,2025-08-07,South,Online,7.0,18.87,0.07,122.84
10439,2025-08-08,South,Partner,16.0,17.59,0.175,232.19
10440,2025-08-08,North,Online,20.0,21.7,0.071,403.19
10441,2025-08-09,South,Online,31.0,17.47,0.049,515.03
10442,2025-08-09,North,Online,15.0,27.01,0.05,384.89
10443,2025-08-10,North,Online,39.0,25.32,0.034,953.91
10444,2025-08-10,West,Online,17.0,19.12,0.054,307.49
10445,2025-08-11,North,Retail,19.0,21.87,0.019,407.63
